Kalimat Asli,Kalimat Dinormalisasi,Level Kata Kasar,Disamarkan
"Cegah Radikalisme di Kalangan Pelajar dan Santri, Ulama Pandeglang GelarÂ Seminar",cegah radikalisme di kalang ajar dan santri ulama pandeglang gelar seminar,0,0
Hinaan dari satu orang saja sudah bisa membuatmu lemah dalam perasaan hina. Apakah engkau selemah itu?',hina dari satu orang saja sudah bisa buat lemah dalam asa hina apakah engkau lemah itu,0,1
"Semua agama itu baik. Saya tidak percaya kalau seseorang itu harus memeluk agama A agar bisa masuk Surga. Mau islam, Kristen, Hindu, Buddha, semua mengajarkan kasih dan kebaikan. Agama ada karena Tuhan mau kita punya hidup yang lurus dan baik. Masuk surg",semua agama itu baik saya tidak percaya kalau orang itu harus peluk agama a agar bisa masuk surga mau islam kristen hindu buddha semua ajar kasih dan baik agama ada karena tuhan mau kita punya hidup yang lurus dan baik masuk surga,0,1
TGB USER sudah terbukti sebagai Umaro' sekaligus Ulama' dan Nasionalis-Religius.; Nasionalismenya sudah tidak diragukan lgkrn beliau seorang cucu Pahlawan Nasional yg sdh mendedikasikan dirinya utk NKRI ; #TGBUntukIndonesia2019,tuan guru bajang guna sudah bukti bagai umara sekaligus ulama dan nasionalisreligius nasionalisme sudah tidak ragu lagi karena beliau orang cucu pahlawan nasional yang sudah dedikasi diri untuk negara satu republik indonesia tgbuntukindonesiazoig,0,1
Setuju. Musuh kita adlh teroris Budha Myanmar baik para biksu &amp; militer nya. Tp Borobudur adlh warisan leluhur kita URL,tuju musuh kita adalah teroris buddha myanmar baik para biksu amp militer nya tetapi borobudur adalah waris leluhur kita uniform resource locator,2,1
#PopulerB1 #Ekonomi: Jokowi Tetapkan 222 Proyek Strategis Senilai Rp 4.100 T,populerbi ekonomi jokowi tetap zzz proyek strategis nila rupiah a ioo t,0,1
allah itu dekat dan penuh kasih sayang,allah itu dekat dan penuh kasih sayang,0,0
USER USER USER USER USER USER USER USER USER Yaa namanya juga kegoblokan akut bang. Diajarin pinter malah makin dongo \xf0\x9f\x98\x81',guna guna guna guna guna guna guna guna guna ya nama juga goblok akut bang ajar pintar malah makin dongok xfo xgf xgb xbi,1,1
USER Kenapa ya manusia pd bloon?????',guna kenapa ya manusia pada belum,1,0
USER USER USER USER USER USER USER Akun komunis,guna guna guna guna guna guna guna akun komunis,2,0
"USER USER Fahami apa itu politik, bahwa ada politik Islam, ada politik sekukerisme demokrasi, ada politik sosialis komunis.'",guna guna paham apa itu politik bahwa ada politik islam ada politik sekuler demokrasi ada politik sosialis komunis,0,1
USER USER Karena bayk terdoktrin tagar ide PKS \nWalau pendidikan tinggi malah jadi sontoloyo\nKetololan mengalahkan kewarasan\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4',guna guna karena baik doktrin tagar ide partai adil sejahtera walau didik tinggi malah jadi sontoloyo tolol kalah waras xfo xgf xgb xai xfo xgf xgb xai xfo xgf xgb xai xfo xgf xgb xai xfo xgf xgb xaa xfo xgf xgb xaa xfo xgf xgb xaa,2,1
RT USER PKI sudah menyatu dg PDI P bubarkan PDI P !!,rt guna partai komunis indonesia sudah satu dengan partai demokrasi indonesia p bubar partai demokrasi indonesia p ih,3,1
Kini telah berpindah ke tangan Medco milik Arifin Panigoro yang mengambil alih saham tersebut dengan menggunakan dana pinjaman dari China.',kini telah pindah ke tangan medco milik arifin panigoro yang ambil alih saham sebut dengan guna dana pinjam dari cina,0,1
Kampungan sekali pada ga tau Crispy Rendang. Kalo lu kebetulan dapet Lengkoas. Itu lah Crispy Rendang.',kampung sekali pada tidak tau crispy rendang kalau kamu betul dapat lengkuas itu lah crispy rendang,1,1
MS Ka'ban : Tanah Jakarta sekarang sudah 87 persen dikuasai Cina,ms kaban tanah jakarta sekarang sudah bt persen asai cina,2,1
Ex Koruptor\nNyaleg..?\nApa partai Politik..\nTak berfikir..\nItu bisa menurunkan\nCitra Partai..?\nGeblek amat..',ex koruptor calon legislatif kenapa partai politik tak pikir itu bisa turun citra partai geblek amat,2,1
Rohingya kok seolah-olah dijadikan alat politik oleh prabowo,rohingya kok seolaholah jadi alat politik oleh prabowo,1,0
Assalamualaikum Bu Risma tolong warga sya di jalan Kalimas udik 1c dpan rumah jl Kalimas udik 1b/1 minta bantuan dari Bu risma. Warga sya rumahnya roboh kshan Bu Risma warga sya gak Punya tempat tinggal rumahnya roboh.',assalamualaikum bu risma tolong warga saya di jalan kalimas udik ic depan rumah jalan kalimas udik ib i minta bantu dari bu risma warga saya rumah roboh kasihan bu risma warga saya tidak punya tempat tinggal rumah roboh,0,1
"USER USER kntl, mas2 smule'",guna guna kontol masz smule,1,1
Ahok si penghina Al - Qur'an dan Ulama ini selalu bersikap menjijikkan yaitu sok suci dan merasa paling benar https:\/\/t.co\/bTkCeTNk0g,ahok sih hina al alquran dan ulama ini selalu sikap jijik yaitu sok suci dan rasa paling benar hypertext transfer protocol over secure socket layer tco btkcetnkog,1,1
USER Alhamdulillah gub gagal &amp; bobrok sdh diganti gubernur muslim yg jauh lebih baik. Insyaalloh #2019GantiPresiden ?; Jangan pernah lelah berjuang. Niatkan sbg ibadah dan nikmati perjuangan melawan pemimpin dholim,guna alhamdulillah gubernur gagal amp bobrok sudah ganti gubernur muslim yang jauh lebih baik insyaallah zoiggantipresiden jangan pernah lelah juang niat bagai ibadah dan nikmat juang lawan pimpin zalim,1,1
"Fahri Hamzah : â??Tugas Presiden Adalah Berkata Benar, Tidak Menipu dan Realisasikan Janjinyaâ??",fahri hamzah tugas presiden adalah kata benar tidak tipu dan realisasi janji,0,0
USER USER USER Lo bilang otak gue belatung bersarang?? Ahhh! Ehhh banci!! Bukannya itu isi otak dan hati lo.. isinya belatung bangke karena kebencian akut lo!! \xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae',guna guna guna kamu bilang otak gue belatung sarang ahhhi eh banciii bukan itu isi otak dan hati kamu isi belatung bangkai karena benci akut loii xfo xgf xaa xae xfo xgf xaa xae xfo xgf xaa xae xfo xgf xaa xae,1,1
RT USER: Salah satu ciri orang munafik bila berjanji dia dusta kayak jokowi URL,rt guna salah satu ciri orang munafik bila janji dia dusta kayak jokowi uniform resource locator,1,0
USER Emang p3 masih punya penumpang ya? ; #2019GantiPresiden,guna memang pe masih punya tumpang ya zoiggantipresiden,2,1
"USER Jablay sama fwb beda setauku. Jablay sekali pakai(?)\nFwb bisa kapanpun dimanapun(?) and not all about sex thing, duh.'",guna jablay sama friends with benefit beda tahu jablay sekali pakai friend with benefit bisa kapan mana and not all about sex thing aduh,0,1
"RT USER: Dari dulu USER &amp; USER sering langgar aturan UU, lu pade MINGKEM kek BANGKE!\n\nBegitu USER &amp; USER\xe2\x80\xa6'",rt guna dari dulu guna amp guna sering langgar atur undang undang kamu pakde diam kayak bangkei dan begitu guna amp guna xez xbo xag,2,1
Ulang lagi Reformasi 98 jilid 2 USER Turunkan Jokowi,ulang lagi reformasi gb jilid z guna turun jokowi,3,1
USER USER Rezim baru \xf0\x9f\x98\x82 Rumor2 deal',guna guna rezim baru xfo xgf xgb xbz rumorz deal,0,1
SA-7.952. AKUNTANSI INTERMEDIATE. SMI...,sa t gsz akuntansi intermediate smi,0,1
USER USER Salah ortunya dunk kak kenapa mereka kampret kalo mereka bukan kampret ga mungkin menetas kampret \xf0\x9f\x98\x85',guna guna salah orang tua dong kak kenapa mereka kampret kalau mereka bukan kampret tidak mungkin tetas kampret xfo xgf xgb xbs,2,1
RT USER USER USER ini Makhluk Tuhan paling nyinyir,rt guna guna guna ini makhluk tuhan paling nyinyir,1,0
USER USER USER USER USER USER USER USER USER Yang ga setuju pasti pendukung anti rejim skrg.. \nDan yang lo sebutin itu yg lo lakuin',guna guna guna guna guna guna guna guna guna yang tidak tuju pasti dukung anti rejim sekarang dan yang kamu sebut itu yang kamu laku,2,1
USER USER USER USER USER USER USER USER USER USER USER PKS = Paguyuban Kampret Sarap \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\xa2',guna guna guna guna guna guna guna guna guna guna guna partai adil sejahtera paguyuban kampret sarap xfo xgf xaa xae xfo xgf xaa xae xfo xgf xgb xaz,2,1
USER percaya mah sm tuhan jgn sm gue tar dikata musyrik wkwk,guna percaya adalah sama tuhan jangan sama gue tar kata musyrik wkwk,0,0
USER USER Kebanyakan minum air kencing onta atau air minum dari suling tinja. makanya otaknya error. Stress',guna guna banyak minum air kencing onta atau air minum dari suling tinja makanya otak error stres,1,1
"USER kesian, yg ada tu sarapan bkn sarap tauu'",guna kasihan yang ada itu sarap bukan sarap tau,0,0
"Kalau guna bahasa cina pon, letak la sekali kandungan teks dalam bahasa melayu bawah dia. \n""Jangan bagi tahu aku google translate kan ada, translate la sendiri.""'",kalau guna bahasa cina pon letak lah sekali kandung teks dalam bahasa melayu bawah dia jangan bagi tahu aku google translate kan ada translate lah sendiri,0,1
"Kata para pki biadab agama itu candu masyarakat \xf0\x9f\x98\xaa tapi kalau agama itu digunakan untuk melawan feodalisme &amp; kapitalisme baru agama itu benar. Hei bajingan, begitu rendahkah kalian menganggap orang yg beragama? ingin menjadikan kami ala",kata para partai komunis indonesia biadab agama itu candu masyarakat xfo xgf xgb xaa tapi kalau agama itu guna untuk lawan feodalisme amp kapitalisme baru agama itu benar hai bajing begitu rendah kalian anggap orang yang agama ingin jadi kami ala,2,1
USER USER Mampus #MTVLAFANEXOL #MTVLAKPOPEXO #MTVLADANCEKOKOBOP USER',guna guna mampus mtvlafanexol mtvlakpopexo mtvladancekokobop guna,2,0
RT USER: Pengantin Baru Kesakitan Saat Ngentot\n\nURL,rt guna pengantin baru sakit saat ngentot dan nurl,1,0
Cara paling rasional dan realistis dalam menilai kepemimpinan Presiden Jokowi adalah: sejauh mana dia telah membawa perbaikan dalam berbagai aspek pembangunan dan kesejahteraan masyarakat dibandingkan dengan sebelumnya. Jika cukup banyak maka sangat layak,cara paling rasional dan realistis dalam nilai pimpin presiden jokowi adalah jauh mana dia telah bawa baik dalam bagai aspek bangun dan sejahtera masyarakat banding dengan belum jika cukup banyak maka sangat layak,0,1
"Dah adzan subuh ni, sholat yuk. \nYg kristen sate yuk'",sudah azan subuh nih salat yuk yang kristen sate yuk,0,1
RT USER PAK SMP NE BAPAK DULU SKR DIPUKILI OLEH JOKO KRISTANTO.,rt guna pak sampai ini bapak dulu sekarang dipukili oleh joko kristanto,1,1
#MataNajwaDebatJakarta topeng anda hari ini fix terbuka USER .. anda sama dgn yg mendukung anda.. BAU BUSUK,mata najwa debat jakarta topeng anda hari ini fix buka guna anda sama dengan yang dukung anda bau busuk,1,1
"USER sebenarnya lewat semua agama bisa, banyak jalan disana Hindu dengan yoga nya (hening) , islam dg jalan tarekatnya",guna benar lewat semua agama bisa banyak jalan di sana hindu dengan yoga nya hening islam dengan jalan tarekat,0,0
USER potong gaji dan fasilitas DPR aja yg 500an orang itu',guna potong gaji dan fasilitas dewan wakil rakyat saja yang sooan orang itu,0,1
USER Wkwkkwkw ditutupin sama taplak meja juga ay biar gak ketauan\xf0\x9f\x98\x82',guna wkwk tutup sama taplak meja juga say biar tidak tahu xfo xgf xgb xbz,0,1
KAN!!! SEKARANG DIA IKUT AUTIS KETAWA2 SENDIRI BACAIN MENTIONAN TWEET2.',kaniii sekarang dia ikut autis ketawaz sendiri baca balas mention tweetz,0,1
mau konsisten marah ga bisa akutu. dikasih video burung onta kepleset udah bahagia lg idupku',mau konsisten marah tidak bisa aku itu kasih video burung onta kepleset sudah bahagia lagi hidup,0,1
"USER kalau sudah masuk lingkaran MLM, sulit lepas. upline jadi komisaris downline yg rugi; ; KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!!; cebong mah gitu, goblok nggak ketulungan. Plonga plongo mengakibatkan optimisme berlebihan; ; #2019GantiPresiden #Pl",guna kalau sudah masuk lingkar malam sulit lepas upline jadi komisaris downline yang rugi ahli cebong hanya i tukang tipu iii cebong adalah begitu goblok enggak ketulungan plonga plongo akibat optimisme lebih zoiggantipresiden pl,2,1
USER USER Bocah pake baju item bangsad sekali tanpa ada rasa bersalah\xf0\x9f\x98\xb6',guna guna bocah pakai baju hitam bangsat sekali tanpa ada rasa salah xfo xgf xgb xbg,1,1
"RT USER: tapi twit begini asik lo, kita jadi tau yang mana akun-akun pro-penista agama, akun-akun buzzer yang kerjanya menghujat :)",rt guna tapi twit begini asyik kamu kita jadi tau yang mana akunakun propenista agama akunakun buzzer yang kerja hujat,2,0
Warbiasak presiden USER ð???ð???,luar biasa presiden guna,0,0
Ramai yg mencerca sokongan USER terhadap hak asasi golongan LGBT. Sekurang-kurangnya beliau konsisten memperjuangkan hak asasi. Terbaru beliau telah bersuara mempertahankan 11 tahanan Muslim Uighur yang diancam untuk dihantar pulang ke negara Komunis,ramai yang cerca sokong guna hadap hak asasi golong lgbt sekurangkurangnya beliau konsisten juang hak asasi baru beliau telah suara tahan ih tahan muslim uighur yang ancam untuk hantar pulang ke negara komunis,0,1
"USER Kenapa peta Indonesia di tempatkan di posisi yg bs terbelah? ; Karena mrk-lah kaum pemecah belah persatuan dan keharmonisan yg selama terjalin. ; ; #2019GantiPresiden yg bisa mempersatukan semua, bkn yg merangkul sebelah tangan, memukul dgn",guna kenapa peta indonesia di tempat di posisi yang bisa belah karena mrklah kaum pecah belah satu dan harmonis yang lama jalin zoiggantipresiden yang bisa satu semua bukan yang rangkul belah tangan pukul dengan,2,1
USER USER Pemandangan yg gak asing lagi \nApa lagi yg jualan',guna guna pandang yang tidak asing lagi kenapa lagi yang jual,0,0
RT USER kelihatan bodohnya wkwkwkwkkkk yg nulis ada prabowo digambar. goreng isu G30SPKI,rt guna lihat bodoh wkwkwkwkkkk yang tulis ada prabowo gambar goreng isu geospki,1,1
USER Edan ini quote berbobot bwangeeeeeeuuut....',guna edan ini kutip bobot bwangeeeeeeuuut,1,1
USER USER USER USER USER itu BENCONG hasil selingkuhan maknya p3r3k gerwani dgn kuda wowok... lahir lah si onta bencong akun abal2..... ngeooaahahahaaaaa \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x92\xa6\xf,guna guna guna guna guna itu bencong hasil selingkuh maknya perek gerwani dengan kuda prabowo lahir lah sih onta bencong akun abalz ngeooaahahahaaaaa xfo xgf xaa xae xfo xgf xaa xae xfo xgf xgz xag xf,1,1
Retweet USER; Program Jokowi bagi-bagi sertifikat mengangkat ekonomi rakyat.. rakyat juga merasa lebih tenang kok dengan adanya #sertifikatanahJKW,retweet guna program jokowi bagibagi sertifikat angkat ekonomi rakyat rakyat juga rasa lebih tenang kok dengan ada sertifikat tanah jokowi,0,1
"USER Dan Alhamdulillah presiden kita byak kasih contoh k kami bagaimana bekerja keras tanpa kenal lelah n tanpa byak mengeluh, sll optimis membangun negeri....love u presidenku",guna dan alhamdulillah presiden kita banyak kasih contoh k kami bagaimana kerja keras tanpa kenal lelah dan tanpa banyak keluh selalu optimis bangun negeri love kamu presiden,0,1
"Kintamani adlh anjing ras Indonesia yg diakui PERKIN, tapi blm diakui F\xc3\xa9d\xc3\xa9ration Cynologique Internationale (FCI) sbg anjing ras dunia.'",kintamani adalah anjing ras indonesia yang aku kumpul kinologi indonesia tapi belum aku f xce xagd xce xagration cynologique internationale fci bagai anjing ras dunia,0,1
Djarot: Tidak Ada â??PotongÂ Atasâ??,djarot tidak ada potong atas,0,0
"udik, itu gue kl abis minum soda langsung sakit tenggorokan \xf0\x9f\x98\x85. dikira sih kemarin karna paketan minumnya soda kan ya, meski lemon katanya. langsung kayak pilek dan sakit tenggorokan dr bangun tidur \xf0\x9f\x98\x81. minum es es esan jg gt terutama yg gulanya campuran, sensitif \xf0\x9f\x98\xa5'",udik itu gue kalau habis minum soda langsung sakit tenggorok xfo xgf xgb xbs kira sih kemarin karena paket minum soda kan ya meski lemon kata langsung kayak pilek dan sakit tenggorok dari bangun tidur xfo xgf xgb xbi minum es es kesan juga begitu utama yang gula campur sensitif xfo xgf xgb xas,1,1
USER Cuma pinter bacot ya lawan nya bu Sri..? \xf0\x9f\x98\x81',guna cuma pintar bacot ya lawan nya bu sri xfo xgf xgb xbi,1,1
"Kami Bangsa Indonesia, Suku Batak Toba, dan kami akan melestarikan Budaya kami Batak Toba.; ; Cerita anak rumahbelajarsianjurmulamula",kami bangsa indonesia suku batak toba dan kami akan lestari budaya kami batak toba cerita anak rumah ajar si anjur mula mula,0,1
"3. Dilihat dari jadwalmu padat sekali ya, bagaimana caramu mengatur waktu? USER #KUchat",e lihat dari jadwal padat sekali ya bagaimana cara atur waktu guna aku chat,0,1
USER Siapa yg jablay....',guna siapa yang jablay,1,1
USER haha boca agama lucu. Baru bangkit dr abad pertama barangkali goblok fuck',guna haha boca agama lucu baru bangkit dari abad pertama barangkali goblok fuck,1,1
"Rusia-Kroasia. Indonesia-Rusia sewajarnya. Hindari salah paham negara2 anti komunis sprt AS. Peduli kemanusiaan harus. Tidak cm Rusia tapi smua tanpa kaitkan agama. Kemerosotan moral sebabkan keserakahan memicu perang, Orang yg tdk hentikannya tdk pantas",rusiakroasia indonesiarusia wajar hindar salah paham negaraz anti komunis seperti as peduli manusia harus tidak cuma rusia tapi semua tanpa kait agama merosot moral sebab serakah picu perang orang yang tidak henti tidak pantas,0,1
"USER USER Itu tak sepenuhnya betul. Soal jilbab dan baju koko, setahu saya yang kristen,katolik,hindu,budha,konghucu tak diwajibkan pakai jilbab. Perihal baju koko,modelnya putih memang khas baju takwa. Kalo di sekolah kami dibedakan ""pad",guna guna itu tak sepenuh betul soal jilbab dan baju koko tahu saya yang kristen katolik hindu buddha konghucu tak wajib pakai jilbab perihal baju koko model putih memang khas baju takwa kalau di sekolah kami beda pad,0,1
Ketua DPR Dorong Inspirasi Kreatif Pemerintah Sesuai Budaya Pancasila,ketua dewan wakil rakyat dorong inspirasi kreatif perintah sesuai budaya pancasila,0,0
"USER Sama aku jugaa.. Aku malah gak seberapa sih, adekku yang lebih sipit wkwkw'",guna sama aku juga aku malah tidak berapa sih adik yang lebih sipit wkwk,0,1
USER USER Cebong mah di otakny ngeres mulu. Hny seputaran coli',guna guna cebong adalah di otak ngeres mulu hanya putar coli,2,1
#KTZ909; ; ð???;â??; á?¦ Bicaralah dengan para pemimpin agama atau seorang exorcist yang bisa melakukan exorcism.,ktzgog bicara dengan para pimpin agama atau orang eksorsisme yang bisa laku eksorsisme,0,1
Kami mencalonkan bapak USER sebagai presiden RI di 2019; Dan kami siap bekerja di akar rumput; Untuk memenangkan bapak USER sebagai presiden RI di 2019,kami calon bapak guna bagai presiden ri di zoig dan kami siap kerja di akar rumput untuk menang bapak guna bagai presiden ri di zoig,0,1
USER Hati 2:\n1. Yang minta anak itu diproses hukum secara tidak langsung membela jkw... Memang itu tujuannya. Mencari empati. 2. Ini video kedua penghina presiden. 3. Pribumi memang warga kelas dua. 4. Penyebar videonya sedang diburu polisi. 5. Dsb,guna hati z nih yang minta anak itu proses hukum cara tidak langsung bela jokowi memang itu tuju cari empati z ini video dua hina presiden e pribumi memang warga kelas dua a sebar video sedang buru polisi si dan bagai,0,1
"Ada Truk Pasir Terbalik, Tol JORR Pasar Minggu ke Kp Rambutan Macet",ada truk pasir balik tol jorr pasar minggu ke kp rambutan macet,0,0
Setelah nonton Disobedience aku jadi penasaran kenapa wanita Yahudi Orthodox pada pake wig',telah tonton disobedience aku jadi penasaran kenapa wanita yahudi ortodoks pada pakai wig,0,0
"ð???ð??¥Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018",warga badui telah selesai ingat tradisi seba di pendopo perintah kabupaten lebak akan lanjut kembali temu dengan gubernur banten wahidin halim hari ini sabtu zi a sebabaduyzoib,0,1
USER Kl komunis sdh tdk laku dimana2. Isu ini cuma jualan antek orba saja dan para pendukung penerapan negara islam/khilafah,guna kalau komunis sudah tidak laku dimanaz isu ini cuma jual antek orde baru saja dan para dukung terap negara islam khilafah,2,1
Prabowo wajar bicara rohinya karna dia kan bukan presiden jadi seenaknya saja dong.,prabowo wajar bicara rohingya karena dia kan bukan presiden jadi enak saja dong,1,1
"org yg kayak tai itu adalah ketika dia yg membuat kesalahan, tetapi org lain yg hrus minta maaf.'",orang yang kayak tai itu adalah ketika dia yang buat salah tetapi orang lain yang harus minta maaf,1,1
Nyadar idup belum bener ngurusin orang lain bahaha sampah abis !',sadar hidup belum benar urus orang lain haha sampah habis i,1,1
"Presiden, pada Peringatan Harlah ke-58 PMII, di Gedung Sabuga, Bandung, Selasa (17/4), minta semua calon pemimpin untuk memiliki optimisme tahan uji, tahan uji, tahan banting &amp; slalu tawakal, berserah diri kepada Allah dengan tetap berusaha dan berikht",presiden pada ingat harlah ke sb gera mahasiswa islam indonesia di gedung sabuga bandung selasa it a minta semua calon pimpin untuk milik optimisme tahan uji tahan uji tahan banting amp selalu tawakal serah diri kepada allah dengan tetap usaha dan ikut,0,1
"[Fakta Ve]Ve dulu punya anjing, namanya juno dan bruno. Tapi sekarang karena udah besar, jadi anjingnya dipindahin ke rumah kakeknya.'",fakta ve ve dulu punya anjing nama juno dan bruno tapi sekarang karena sudah besar jadi anjing pindah ke rumah kakek,0,1
"Diduga Masalah Ekonomi, Seorang Guru SD Nekat Gantung Diri: KBRN, Semarangâ?¦",duga masalah ekonomi orang guru sekolah dasar nekat gantung diri kbrn semarang,0,0
USER USER USER Menemukan jalan yg benar diorganisasi yg diharamkan seperti babi dan dilarang seperti PKI? \n\xf0\x9f\x98\x81',guna guna guna temu jalan yang benar di organisasi yang haram seperti babi dan larang seperti partai komunis indonesia dan xfo xgf xgb xbi,0,1
Bu silvi anti pns level rendah katanya #DebatFinalPilkadaJKT,bu silvy anti pegawai negeri sipil level rendah kata debat final pilih kepala daerah jakarta,1,0
USER USER USER USER USER USER USER USER USER USER USER Doa #2019GantiPresiden selalu kusebut. Moga terkabul. Sudah banyak daerah yg diserbu TKA ASENG. Gawattt.',guna guna guna guna guna guna guna guna guna guna guna doa zoiggantipresiden selalu aku sebut moga kabul sudah banyak daerah yang serbu tenaga kerja asing asing gawattt,1,1
"RT USER: Man teman, kita perlu berterima kasih pada toilet, sehingga tidak perlu mengubur tai kita seperti kucing.'",rt guna man teman kita perlu terima kasih pada toilet sehingga tidak perlu kubur tai kita seperti kucing,0,1
"Tipikal bani 212 bin onta kampret : cepat memuji org yg dihormati, cepat juga mencaci nya kembali.... salam TGB ... ngoahaha #BubarkanPKS'",tipikal bani ziz bin onta kampret cepat puji orang yang hormat cepat juga caci nya kembali salam tuan guru bajang haha bubar partai adil sejahtera,3,1
"USER USER USER USER Harus begitu. Kita itu harus ""Strict""deh pokoknya kl menyangkut kebijakan politik dalam negeri &amp; luar negeri yg menyangkut sama pihak asing. Kita jgn haram meniru negara komunis dlm melindungi keut",guna guna guna guna harus begitu kita itu harus strictdeh pokok kalau sangkut bijak politik dalam negeri amp luar negeri yang sangkut sama pihak asing kita jangan haram tiru negara komunis dalam lindung keut,0,1
Integrasi Agama dan Budaya sebagai Pondasi Peradaban Bangsa,integrasi agama dan budaya bagai pondasi adab bangsa,0,0
USER Kakak kampungan cuyih',guna kakak kampung cih,1,0
"Catatan:\n\nGerakan Reformasi adalah gerakan moral rakyat dan mahasiwa dipimpin oleh Amien Rais dkk adalah produk yg diinisiasi distimulir, dirancang oleh CSIS, Elit Katolik, Konglo Tionghoa, dan antek2nya\n\nReformasi adalah tunggangan mereka\nReformasi",catat dan gera reformasi adalah gera moral rakyat dan mahasiwa pimpin oleh amien rais dan kawan kawan adalah produk yang inisiasi distimulir rancang oleh csis elite katolik konglomerat tionghoa dan antekznya dan reformasi adalah tunggang mereka reformasi,0,1
#2019GantiPresiden scra konstitusional itu hak setiap rakyat woii! . Gini nih kalo klo planga plongo tp kelakuan otoriter.,zoiggantipresiden cara konstitusional itu hak tiap rakyat woiii begini nih kalau kalau plonga plongo tetapi laku otoriter,1,1
"Jadi ingat dialog Neo dgn Oracle di The Matrix. \nOracle: ""Apa yang diinginkan seorang penguasa?\nNeo: (hening)....... \nOracle: Kekuasaan yang lebih besar.'",jadi ingat dialog neo dengan oracle di the matrix oracle apa yang ingin orang kuasa neo hening oracle kuasa yang lebih besar,0,1
"#NowPepatahPetitih bersama Sucipto Hadi Purnomo - dosen budaya Jawa di Jurusan Sastra Jawa Unnes. Tema â??Aja Gumunan, Aja Getunan, Aja Kagetan, Aja Alemanâ??.",now peta petitih sama sucipto had purnomo dosen budaya jawa di jurus sastra jawa universitas negeri semarang tema saja gumun saja getun saja kaget saja alem,0,1
"USER Iya, aman karena mayoritas Rakyatnya yaitu umat Islam yg hatinya sering bapak sakiti, sukses mengendalikan diri, sukses menjaga emosinya untuk kepentingan persatuan bangsa. Lah bapak sendiri sebagai Presiden malah memelihara cebong yg ke",guna iya aman karena mayoritas rakyat yaitu umat islam yang hati sering bapak sakit sukses kendali diri sukses jaga emosi untuk penting satu bangsa lah bapak sendiri bagai presiden malah pelihara cebong yang ke,1,1
Qaumi ekjayati conference Jamiat ul ulama e hind ki public meeting se Barrister Asad uddin owaisi,qaumi ekajati conference jamiat ul ulama e hind ki publik meeting se barrister asad udin owaisi,0,0
Penghina Iriana Jokowi Langsung Ditangkap Penghina Wapres JK Masih AMAN. ADA APA? URL,hina iriana jokowi langsung tangkap hina wakil presiden jika masih aman ada apa uniform resource locator,1,1
"USER Den...den...\nNista banget hidup lo..\nUdah fitnah Abu Jibriel gak minta maaf, sekarang bikin fitnah baru lagi.\nDan followermu, menyedihkan banget tingkat kecerdasannya....\nMain setuja setuju ae mbek congormu.\nBosok, su....'",guna den den nista banget hidup kamu sudah fitnah abu jibril tidak minta maaf sekarang bikin fitnah baru lagi dan ikut sedih banget tingkat cerdas main tuju tuju saja mbek congor busuk su,1,1
"Selain di Surabaya, bom juga meledak di rusunawa wonocolo, Sidoarjo. Para petinggi polisi di Jawa Timur menduga kuat ini ada kaitannya dengan kejadian yg ada di Surabaya. Dengan memakan korban sebanyak 5 orang. 3 orng meninggal dunia termasu pelaku Anton",selain di surabaya bom juga ledak di rumah susun sederhana sewa wonocolo sidoarjo para petinggi polisi di jawa timur duga kuat ini ada kait dengan jadi yang ada di surabaya dengan makan korban banyak si orang e orang tinggal dunia masuk laku anton,0,1
"USER Emangnya lo siapa, sontoloyo si pengecut'",guna memang kamu siapa sontoloyo sih kecut,1,0
USER org kaya gitu emg maunya bayinya dibunuh aja. polisi moral keparat',guna orang kayak begitu memang mau bayi bunuh saja polisi moral keparat,2,1
"kalo di catatan harian menantu sinting, lakban = laki banget, sementara itu lakban menurut definisi df USER \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 URL",kalau di catat hari menantu sinting lakban laki banget sementara itu lakban turut definisi df guna xfo xgf xgb xbz xfo xgf xgb xbz xfo xgf xgb xbz xfo xgf xgb xbz uniform resource locator,0,1
Gubernur Indonesia ngobrol dengan Presiden Turki ð???,gubernur indonesia obrol dengan presiden turki,0,0
USER USER USER USER USER Apa beda nya sama bani kampret kayak anda bro... Mudah di provokasi \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x86',guna guna guna guna guna apa beda nya sama bani kampret kayak anda bro mudah di provokasi xfo xgf xgb xbi xfo xgf xgb xbi xfo xgf xgb xbi xfo xgf xgb xbi xfo xgf xgb xbi xfo xgf xgb xbg,2,1
